import time: self [us] | cumulative | imported package
import time:       973 |        973 |   _io
import time:       193 |        193 |   marshal
import time:       986 |        986 |   posix
import time:      1179 |       3331 | _frozen_importlib_external
import time:       560 |        560 |   time
import time:       539 |       1099 | zipimport
import time:       194 |        194 |     _codecs
import time:      1023 |       1216 |   codecs
import time:      2208 |       2208 |   encodings.aliases
import time:      2524 |       5948 | encodings
import time:       979 |        979 | encodings.utf_8
import time:       451 |        451 | _signal
import time:       132 |        132 |     _abc
import time:       411 |        543 |   abc
import time:       550 |       1092 | io
import time:       184 |        184 |       _stat
import time:       203 |        387 |     stat
import time:      3154 |       3154 |     _collections_abc
import time:       198 |        198 |       genericpath
import time:       312 |        509 |     posixpath
import time:      1119 |       5167 |   os
import time:       330 |        330 |   _sitebuiltins
import time:      1212 |       1212 |   encodings.utf_8_sig
import time:      1696 |       1696 |   sitecustomize
import time:      3077 |      11481 | site
import time:      1059 |       1059 |       warnings
import time:       891 |       1950 |     importlib
import time:       188 |       2137 |   importlib.machinery
import time:       700 |        700 |     importlib._abc
import time:      1028 |       1028 |     types
import time:       429 |       2156 |   importlib.util
import time:       321 |       4612 | runpy
import time:       677 |        677 | robot_comic
import time:       562 |        562 |   __future__
import time:       857 |        857 |           _operator
import time:      1542 |       2399 |         operator
import time:      1214 |       1214 |             itertools
import time:       955 |        955 |             keyword
import time:      1614 |       1614 |             reprlib
import time:       439 |        439 |             _collections
import time:      3513 |       7734 |           collections
import time:       226 |        226 |           _functools
import time:      2685 |      10643 |         functools
import time:      4892 |      17933 |       enum
import time:       288 |        288 |         _sre
import time:      1011 |       1011 |           re._constants
import time:      2042 |       3052 |         re._parser
import time:       611 |        611 |         re._casefix
import time:      1482 |       5432 |       re._compiler
import time:       765 |        765 |       copyreg
import time:      2258 |      26387 |     re
import time:       837 |        837 |       collections.abc
import time:       826 |        826 |           token
import time:       203 |        203 |           _tokenize
import time:      3775 |       4802 |         tokenize
import time:       614 |       5416 |       linecache
import time:      3853 |       3853 |       textwrap
import time:      2813 |       2813 |       contextlib
import time:      2741 |      15659 |     traceback
import time:      1525 |       1525 |       _weakrefset
import time:     10051 |      11576 |     weakref
import time:       207 |        207 |       _string
import time:      2439 |       2645 |     string
import time:      2980 |       2980 |     threading
import time:       241 |        241 |     atexit
import time:      7807 |      67291 |   logging
import time:       665 |      68517 | robot_comic.startup_timer
import time:      2899 |       2899 | signal
import time:       701 |        701 |       concurrent
import time:      3329 |       3329 |       concurrent.futures._base
import time:       972 |       5000 |     concurrent.futures
import time:       612 |        612 |     errno
import time:       422 |        422 |       _heapq
import time:      1282 |       1704 |     heapq
import time:      1229 |       1229 |       _socket
import time:       341 |        341 |         math
import time:       224 |        224 |         select
import time:      2680 |       3244 |       selectors
import time:       399 |        399 |       array
import time:      6871 |      11741 |     socket
import time:       386 |        386 |         _locale
import time:      3936 |       4322 |       locale
import time:       299 |        299 |       fcntl
import time:       365 |        365 |       msvcrt
import time:       123 |        123 |       _posixsubprocess
import time:      3215 |       8323 |     subprocess
import time:      3151 |       3151 |       _ssl
import time:       378 |        378 |           _struct
import time:      1053 |       1430 |         struct
import time:       308 |        308 |         binascii
import time:      1314 |       3051 |       base64
import time:     10525 |      16726 |     ssl
import time:      1502 |       1502 |     asyncio.constants
import time:      4341 |       4341 |           _ast
import time:      4609 |       8949 |         ast
import time:       185 |        185 |             _opcode
import time:      1732 |       1916 |           opcode
import time:      3752 |       5668 |         dis
import time:      8669 |      23285 |       inspect
import time:       597 |      23881 |     asyncio.coroutines
import time:       174 |        174 |         _contextvars
import time:       689 |        862 |       contextvars
import time:       586 |        586 |       asyncio.format_helpers
import time:      1103 |       1103 |         asyncio.base_futures
import time:      1192 |       1192 |         asyncio.exceptions
import time:       968 |        968 |         asyncio.base_tasks
import time:      1021 |       4283 |       _asyncio
import time:      2237 |       7967 |     asyncio.events
import time:      1420 |       1420 |     asyncio.futures
import time:       795 |        795 |     asyncio.protocols
import time:      1062 |       1062 |       asyncio.transports
import time:       455 |        455 |       asyncio.log
import time:      2572 |       4088 |     asyncio.sslproto
import time:       477 |        477 |         asyncio.mixins
import time:      6298 |       6774 |       asyncio.locks
import time:       230 |        230 |             _typing
import time:     10631 |      10861 |           typing
import time:      2247 |      13108 |         asyncio.timeouts
import time:      2029 |      15137 |       asyncio.tasks
import time:      1052 |      22961 |     asyncio.staggered
import time:       993 |        993 |     asyncio.trsock
import time:      4536 |     112243 |   asyncio.base_events
import time:      1528 |       1528 |   asyncio.runners
import time:      1040 |       1040 |   asyncio.queues
import time:      1962 |       1962 |   asyncio.streams
import time:      1038 |       1038 |   asyncio.subprocess
import time:       912 |        912 |   asyncio.taskgroups
import time:       643 |        643 |   asyncio.threads
import time:      1051 |       1051 |     asyncio.base_subprocess
import time:      2736 |       2736 |     asyncio.selector_events
import time:      2846 |       6633 |   asyncio.unix_events
import time:      1319 |     127315 | asyncio
import time:      3349 |       3349 |   gettext
import time:      3389 |       6738 | argparse
import time:      1238 |       1238 |   fnmatch
import time:       284 |        284 |     _winapi
import time:       226 |        226 |     nt
import time:       217 |        217 |     nt
import time:       208 |        208 |     nt
import time:       202 |        202 |     nt
import time:       223 |        223 |     nt
import time:       228 |        228 |     nt
import time:       372 |       1956 |   ntpath
import time:       657 |        657 |     urllib
import time:      6309 |       6309 |     ipaddress
import time:      4377 |      11342 |   urllib.parse
